Microsoft (R) COFF/PE Dumper Version 14.33.31630.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file D:\Projects\MouriNaruto\ntdll-crt-analysis\ntdll.dll\10.0.16299.15\arm64\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FCCC3633 time date stamp
        0.00 version
           8 ordinal base
        2317 number of functions
        2316 number of names

    ordinal hint RVA      name

       1089  438 000482E0 RtlInitUnicodeString
       1090  439 0004BC80 RtlInitUnicodeStringEx
       1091  43A 00103C60 RtlInitWeakEnumerationHashTable
       1092  43B 000973F0 RtlInitializeAtomPackage
       1093  43C 0008F540 RtlInitializeBitMap
       1094  43D 000F8DD0 RtlInitializeBitMapEx
       1095  43E 00087B60 RtlInitializeConditionVariable
       1096  43F 0010A5C0 RtlInitializeContext
       1097  440 00107240 RtlInitializeCorrelationVector
       1098  441 00059F10 RtlInitializeCriticalSection
       1099  442 0007ED00 RtlInitializeCriticalSectionAndSpinCount
       1100  443 00059AF0 RtlInitializeCriticalSectionEx
       1101  444 0007EE40 RtlInitializeExtendedContext
       1102  445 00092640 RtlInitializeGenericTable
       1103  446 00095B90 RtlInitializeGenericTableAvl
       1104  447 00095A80 RtlInitializeHandleTable
       1105  448 0009CFE0 RtlInitializeNtUserPfn
       1106  449 0009C120 RtlInitializeRXact
       1107  44A 0002EB50 RtlInitializeResource
       1108  44B 00089D40 RtlInitializeSListHead
       1109  44C 00087B60 RtlInitializeSRWLock
       1110  44D 00042EF0 RtlInitializeSid
       1111  44E 00042E80 RtlInitializeSidEx
       1112  44F 0007B180 RtlInsertElementGenericTable
       1113  450 00083530 RtlInsertElementGenericTableAvl
       1114  451 0007B1E0 RtlInsertElementGenericTableFull
       1115  452 00083590 RtlInsertElementGenericTableFullAvl
       1116  453 000852F0 RtlInsertEntryHashTable
       1117  454 000ECE30 RtlInstallFunctionTableCallback
       1118  455 000F9870 RtlInt64ToUnicodeString
       1119  456 0005EE10 RtlIntegerToChar
       1120  457 0005ED90 RtlIntegerToUnicodeString
       1121  458 000926E0 RtlInterlockedClearBitRun
       1122  459 00089C10 RtlInterlockedFlushSList
       1123  45A 000242C0 RtlInterlockedPopEntrySList
       1124  45B 00087010 RtlInterlockedPushEntrySList
       1125  45C 00024310 RtlInterlockedPushListSList
       1126  45D 0010A810 RtlInterlockedPushListSListEx
       1127  45E 000F8DE0 RtlInterlockedSetBitRun
       1128  45F 000FED30 RtlIoDecodeMemIoResource
       1129  460 000FEDC0 RtlIoEncodeMemIoResource
       1130  461 00099480 RtlIpv4AddressToStringA
       1131  462 00106BC0 RtlIpv4AddressToStringExA
       1132  463 00094D90 RtlIpv4AddressToStringExW
       1133  464 00094E50 RtlIpv4AddressToStringW
       1134  465 0008FF10 RtlIpv4StringToAddressA
       1135  466 0008FEB0 RtlIpv4StringToAddressExA
       1136  467 00040540 RtlIpv4StringToAddressExW
       1137  468 00040660 RtlIpv4StringToAddressW
       1138  469 0008E250 RtlIpv6AddressToStringA
       1139  46A 00106C80 RtlIpv6AddressToStringExA
       1140  46B 0007E0A0 RtlIpv6AddressToStringExW
       1141  46C 0007E1C0 RtlIpv6AddressToStringW
       1142  46D 0008BF50 RtlIpv6StringToAddressA
       1143  46E 0008BED0 RtlIpv6StringToAddressExA
       1144  46F 00040850 RtlIpv6StringToAddressExW
       1145  470 000409A0 RtlIpv6StringToAddressW
       1146  471 000EB400 RtlIsActivationContextActive
       1147  472 00042B60 RtlIsCapabilitySid
       1148  473 000981E0 RtlIsCloudFilesPlaceholder
       1149  474 00027F40 RtlIsCriticalSectionLocked
       1150  475 00060C00 RtlIsCriticalSectionLockedByThread
       1151  476 00083260 RtlIsCurrentProcess
       1152  477 00096B50 RtlIsCurrentThread
       1153  478 000E30D0 RtlIsCurrentThreadAttachExempt
       1154  479 0008F5C0 RtlIsDosDeviceName_U
       1155  47A 00095C20 RtlIsElevatedRid
       1156  47B 0008BEB0 RtlIsGenericTableEmpty
       1157  47C 00105B80 RtlIsGenericTableEmptyAvl
       1158  47D 00041730 RtlIsMultiSessionSku
       1159  47E 00098150 RtlIsMultiUsersInSessionSku
       1160  47F 0010AAD0 RtlIsNameInExpression
       1161  480 00107C50 RtlIsNameLegalDOS8Dot3
       1162  481 0010A930 RtlIsNonEmptyDirectoryReparsePointAllowed
       1163  482 0010C450 RtlIsNormalizedString
       1164  483 00094BB0 RtlIsPackageSid
       1165  484 00094D00 RtlIsParentOfChildAppContainer
       1166  485 000936C0 RtlIsPartialPlaceholder
       1167  486 0010A820 RtlIsPartialPlaceholderFileHandle
       1168  487 0010A870 RtlIsPartialPlaceholderFileInfo
       1169  488 00093D20 RtlIsProcessorFeaturePresent
       1170  489 00097400 RtlIsStateSeparationEnabled
       1171  48A 00085BB0 RtlIsTextUnicode
       1172  48B 000970A0 RtlIsThreadWithinLoaderCallout
       1173  48C 000F25C0 RtlIsUntrustedObject
       1174  48D 00084400 RtlIsValidHandle
       1175  48E 000843B0 RtlIsValidIndexHandle
       1176  48F 00107FD0 RtlIsValidLocaleName
       1177  490 0003B3C0 RtlIsValidProcessTrustLabelSid
       1178  491 0010C4F0 RtlKnownExceptionFilter
       1179  492 00046E40 RtlLCIDToCultureName
       1180  493 000F9900 RtlLargeIntegerToChar
       1181  494 00046FF0 RtlLcidToLocaleName
       1182  495 00068D10 RtlLeaveCriticalSection
       1183  496 0003AA00 RtlLengthRequiredSid
       1184  497 0008A570 RtlLengthSecurityDescriptor
       1185  498 00086430 RtlLengthSid
       1186  499 0004AC80 RtlLengthSidAsUnicodeString
       1187  49A 0006BD60 RtlLoadString
       1188  49B 000F1B60 RtlLocalTimeToSystemTime
       1189  49C 00048330 RtlLocaleNameToLcid
       1190  49D 00103D50 RtlLocateExtendedFeature
       1191  49E 00103D70 RtlLocateExtendedFeature2
       1192  49F 00092660 RtlLocateLegacyContext
       1193  4A0 000F9FB0 RtlLockBootStatusData
       1194  4A1 000262B0 RtlLockCurrentThread
       1195  4A2 00059970 RtlLockHeap
       1196  4A3 00025C20 RtlLockMemoryBlockLookaside
       1197  4A4 000E2230 RtlLockMemoryStreamRegion
       1198  4A5 00025CA0 RtlLockMemoryZone
       1199  4A6 00025E60 RtlLockModuleSection
       1200  4A7 0010CC10 RtlLogStackBackTrace
       1201  4A8 00084020 RtlLookupAtomInAtomTable
       1202  4A9 0007B300 RtlLookupElementGenericTable
       1203  4AA 000803F0 RtlLookupElementGenericTableAvl
       1204  4AB 001058D0 RtlLookupElementGenericTableFull
       1205  4AC 000832A0 RtlLookupElementGenericTableFullAvl
       1206  4AD 00085390 RtlLookupEntryHashTable
       1207  4AE 00105B90 RtlLookupFirstMatchingElementGenericTableAvl
       1208  4AF 000675B0 RtlLookupFunctionEntry
       1209  4B0 000ED0F0 RtlLookupFunctionTable
       1210  4B1 00086CB0 RtlMakeSelfRelativeSD
       1211  4B2 00049410 RtlMapGenericMask
       1212  4B3 000F2740 RtlMapSecurityErrorToNtStatus
       1213  4B4 000996B0 RtlMoveMemory
       1214  4B5 0008A3C0 RtlMultiAppendUnicodeStringBuffer
       1215  4B6 00085A20 RtlMultiByteToUnicodeN
       1216  4B7 00027F50 RtlMultiByteToUnicodeSize
       1217  4B8 000FF5E0 RtlMultipleAllocateHeap
       1218  4B9 000FF660 RtlMultipleFreeHeap
       1219  4BA 000E38F0 RtlNewInstanceSecurityObject
       1220  4BB 000E39F0 RtlNewSecurityGrantedAccess
       1221  4BC 00096B10 RtlNewSecurityObject
       1222  4BD 00090230 RtlNewSecurityObjectEx
       1223  4BE 000E3B30 RtlNewSecurityObjectWithMultipleInheritance
       1224  4BF 00097F30 RtlNormalizeProcessParams
       1225  4C0 00091290 RtlNormalizeString
       1226  4C1 000DC2C0 RtlNtPathNameToDosPathName
       1227  4C2 0002CDD0 RtlNtStatusToDosError
       1228  4C3 0002CD00 RtlNtStatusToDosErrorNoTeb
       1229  4C4 000106B0 RtlNtdllName
       1230  4C5 00096B00 RtlNumberGenericTableElements
       1231  4C6 000967A0 RtlNumberGenericTableElementsAvl
       1232  4C7 000F8EC0 RtlNumberOfClearBits
       1233  4C8 000F8EF0 RtlNumberOfClearBitsInRange
       1234  4C9 000F8F30 RtlNumberOfSetBits
       1235  4CA 000F90A0 RtlNumberOfSetBitsInRange
       1236  4CB 0009CCF0 RtlNumberOfSetBitsUlongPtr
       1237  4CC 000F7AF0 RtlOemStringToUnicodeSize
       1238  4CD 00092E40 RtlOemStringToUnicodeString
       1239  4CE 00092F10 RtlOemToUnicodeN
       1240  4CF 0003E9A0 RtlOpenCurrentUser
       1241  4D0 0010D650 RtlOsDeploymentState
       1242  4D1 000F2880 RtlOwnerAcesPresent
       1243  4D2 0008F500 RtlPcToFileHeader
       1244  4D3 000F7110 RtlPinAtomInAtomTable
       1245  4D4 00082140 RtlPopFrame
       1246  4D5 000964F0 RtlPrefixString
       1247  4D6 0007AF10 RtlPrefixUnicodeString
       1248  4D7 000E3100 RtlPrepareForProcessCloning
       1249  4D8 00070830 RtlProcessFlsData
       1250  4D9 000723A0 RtlProtectHeap
       1251  4DA 00092440 RtlPublishWnfStateData
       1252  4DB 00081380 RtlPushFrame
       1253  4DC 0008E490 RtlQueryActivationContextApplicationSettings
       1254  4DD 00083B70 RtlQueryAtomInAtomTable
       1255  4DE 000F4B00 RtlQueryCriticalSectionOwner
       1256  4DF 00087020 RtlQueryDepthSList
       1257  4E0 000FA3A0 RtlQueryDynamicTimeZoneInformation
       1258  4E1 00094740 RtlQueryElevationFlags
       1259  4E2 000690B0 RtlQueryEnvironmentVariable
       1260  4E3 0006CD60 RtlQueryEnvironmentVariable_U
       1261  4E4 000251E0 RtlQueryHeapInformation
       1262  4E5 000EE120 RtlQueryImageMitigationPolicy
       1263  4E6 0008FAE0 RtlQueryInformationAcl
       1264  4E7 00061070 RtlQueryInformationActivationContext
       1265  4E8 00095A60 RtlQueryInformationActiveActivationContext
       1266  4E9 000E2230 RtlQueryInterfaceMemoryStream
       1267  4EA 000F0360 RtlQueryModuleInformation
       1268  4EB 00084BE0 RtlQueryPackageClaims
       1269  4EC 00084B90 RtlQueryPackageIdentity
       1270  4ED 00084B40 RtlQueryPackageIdentityEx
       1271  4EE 00039AC0 RtlQueryPerformanceCounter
       1272  4EF 00094B90 RtlQueryPerformanceFrequency
       1273  4F0 000E3EA0 RtlQueryProcessBackTraceInformation
       1274  4F1 0007B9E0 RtlQueryProcessDebugInformation
       1275  4F2 000E4020 RtlQueryProcessHeapInformation
       1276  4F3 000E43A0 RtlQueryProcessLockInformation
       1277  4F4 0008A8B0 RtlQueryProtectedPolicy
       1278  4F5 000FA3B0 RtlQueryRegistryValues
       1279  4F6 0003BDA0 RtlQueryRegistryValuesEx
       1280  4F7 00076D80 RtlQueryResourcePolicy
       1281  4F8 000E3B60 RtlQuerySecurityObject
       1282  4F9 000FF6D0 RtlQueryTagHeap
       1283  4FA 00097F80 RtlQueryThreadPlaceholderCompatibilityMode
       1284  4FB 000DBEA0 RtlQueryThreadProfiling
       1285  4FC 0009CAF0 RtlQueryTimeZoneInformation
       1286  4FD 00086440 RtlQueryUnbiasedInterruptTime
       1287  4FE 0010D760 RtlQueryValidationRunlevel
       1288  4FF 000978E0 RtlQueryWnfMetaNotification
       1289  500 0008F410 RtlQueryWnfStateData
       1290  501 00096670 RtlQueryWnfStateDataWithExplicitScope
       1291  502 000E83E0 RtlQueueApcWow64Thread
       1292  503 00030AB0 RtlQueueWorkItem
       1293  504 0006D020 RtlRaiseException
       1294  505 0010D810 RtlRaiseStatus
       1295  506 00064880 RtlRandom
       1296  507 00064880 RtlRandomEx
       1297  508 0004EF20 RtlRbInsertNodeEx
       1298  509 00054E60 RtlRbRemoveNode
       1299  50A 000561F0 RtlReAllocateHeap
       1300  50B 000E2230 RtlReadMemoryStream
       1301  50C 000E2230 RtlReadOutOfProcessMemoryStream
       1302  50D 000DBEC0 RtlReadThreadProfilingData
       1303  50E 000263A0 RtlRealPredecessor
       1304  50F 0007B990 RtlRealSuccessor
       1305  510 0009CF00 RtlRegisterForWnfMetaNotification
       1306  511 00105DA0 RtlRegisterSecureMemoryCacheCallback
       1307  512 00092D90 RtlRegisterThreadWithCsrss
       1308  513 00030890 RtlRegisterWait
       1309  514 00032940 RtlReleaseActivationContext
       1310  515 000973F0 RtlReleaseMemoryStream
       1311  516 0005A040 RtlReleasePath
       1312  517 0006BC50 RtlReleasePebLock
       1313  518 00093C70 RtlReleasePrivilege
       1314  519 0008AB80 RtlReleaseRelativeName
       1315  51A 00086230 RtlReleaseResource
       1316  51B 000562B0 RtlReleaseSRWLockExclusive
       1317  51C 00065250 RtlReleaseSRWLockShared
       1318  51D 0010A660 RtlRemoteCall
       1319  51E 0008EB40 RtlRemoveEntryHashTable
       1320  51F 00097420 RtlRemovePrivileges
       1321  520 000E53D0 RtlRemoveVectoredContinueHandler
       1322  521 000E53E0 RtlRemoveVectoredExceptionHandler
       1323  522 000F28A0 RtlReplaceSidInSd
       1324  523 0007C650 RtlReplaceSystemDirectoryInPath
       1325  524 00026AD0 RtlReportException
       1326  525 000E8700 RtlReportExceptionEx
       1327  526 00070B40 RtlReportSilentProcessExit
       1328  527 000E8AB0 RtlReportSqmEscalation
       1329  528 000F7380 RtlResetMemoryBlockLookaside
       1330  529 000F7400 RtlResetMemoryZone
       1331  52A 0009D120 RtlResetNtUserPfn
       1332  52B 000F16A0 RtlResetRtlTranslations
       1333  52C 000F9FD0 RtlRestoreBootStatusDefaults
       1334  52D 00024630 RtlRestoreContext
       1335  52E 0002CCA0 RtlRestoreLastWin32Error
       1336  52F 000FA0A0 RtlRestoreSystemBootStatusDefaults
       1337  530 0009D1E0 RtlRetrieveNtUserPfn
       1338  531 000E2230 RtlRevertMemoryStream
       1339  532 000F2C20 RtlRunDecodeUnicodeString
       1340  533 000F2C90 RtlRunEncodeUnicodeString
       1341  534 00082EC0 RtlRunOnceBeginInitialize
       1342  535 00035E30 RtlRunOnceComplete
       1343  536 000355D0 RtlRunOnceExecuteOnce
       1344  537 00087B60 RtlRunOnceInitialize
       1345  538 00096AC0 RtlSecondsSince1970ToTime
       1346  539 000F1BC0 RtlSecondsSince1980ToTime
       1347  53A 000E2230 RtlSeekMemoryStream
       1348  53B 00086A30 RtlSelfRelativeToAbsoluteSD
       1349  53C 00086900 RtlSelfRelativeToAbsoluteSD2
       1350  53D 00099350 RtlSendMsgToSm
       1351  53E 00091260 RtlSetAllBits
       1352  53F 000F2D70 RtlSetAttributesSecurityDescriptor
       1353  540 00097BC0 RtlSetBit
       1354  541 0006EBD0 RtlSetBits
       1355  542 00097200 RtlSetControlSecurityDescriptor
       1356  543 0008A650 RtlSetCriticalSectionSpinCount
       1357  544 0008F620 RtlSetCurrentDirectory_U
       1358  545 0009C510 RtlSetCurrentEnvironment
       1359  546 00085A00 RtlSetCurrentTransaction
       1360  547 0008BD20 RtlSetDaclSecurityDescriptor
       1361  548 000FA3C0 RtlSetDynamicTimeZoneInformation
       1362  549 000952A0 RtlSetEnvironmentStrings
       1363  54A 00040EF0 RtlSetEnvironmentVar
       1364  54B 00040E90 RtlSetEnvironmentVariable
       1365  54C 00103E60 RtlSetExtendedFeaturesMask
       1366  54D 0008F040 RtlSetGroupSecurityDescriptor
       1367  54E 00096260 RtlSetHeapInformation
       1368  54F 000EECE0 RtlSetImageMitigationPolicy
       1369  550 000F58C0 RtlSetInformationAcl
       1370  551 0009B760 RtlSetIoCompletionCallback
       1371  552 0002CCA0 RtlSetLastWin32Error
       1372  553 0002CC80 RtlSetLastWin32ErrorAndNtStatusFromNtStatus
       1373  554 000E2230 RtlSetMemoryStreamSize
       1374  555 0008EBB0 RtlSetOwnerSecurityDescriptor
       1375  556 000FA310 RtlSetPortableOperatingSystem
       1376  557 000E4650 RtlSetProcessDebugInformation
       1377  558 0009C810 RtlSetProcessIsCritical
       1378  559 00089D50 RtlSetProcessPreferredUILanguages
       1379  55A 00095E50 RtlSetProtectedPolicy
       1380  55B 000ACE40 RtlSetProxiedProcessId
       1381  55C 00091960 RtlSetSaclSecurityDescriptor
       1382  55D 000EA650 RtlSetSearchPathMode
       1383  55E 00099640 RtlSetSecurityDescriptorRMControl
       1384  55F 0008C420 RtlSetSecurityObject
       1385  560 000E3E60 RtlSetSecurityObjectEx
       1386  561 0009C7A0 RtlSetSystemBootStatus
       1387  562 000FA0F0 RtlSetSystemBootStatusEx
       1388  563 000941F0 RtlSetThreadErrorMode
       1389  564 00098AC0 RtlSetThreadIsCritical
       1390  565 00096230 RtlSetThreadPlaceholderCompatibilityMode
       1391  566 000973F0 RtlSetThreadPoolStartFunc
       1392  567 00061900 RtlSetThreadPreferredUILanguages
       1393  568 00059070 RtlSetThreadSubProcessTag
       1394  569 00083910 RtlSetThreadWorkOnBehalfTicket
       1395  56A 000FA3D0 RtlSetTimeZoneInformation
       1396  56B 00124750 RtlSetTimer
       1397  56C 0008A840 RtlSetUnhandledExceptionFilter
       1398  56D 000FF970 RtlSetUserFlagsHeap
       1399  56E 0008CD30 RtlSetUserValueHeap
       1400  56F 00091A50 RtlSidDominates
       1401  570 0003B320 RtlSidDominatesForTrust
       1402  571 000F2DB0 RtlSidEqualLevel
       1403  572 000931B0 RtlSidHashInitialize
       1404  573 00093410 RtlSidHashLookup
       1405  574 000F2E60 RtlSidIsHigherLevel
       1406  575 00054AA0 RtlSizeHeap
       1407  576 00080A30 RtlSleepConditionVariableCS
       1408  577 00080E90 RtlSleepConditionVariableSRW
       1409  578 0007B390 RtlSplay
       1410  579 00097520 RtlStartRXact
       1411  57A 000E2230 RtlStatMemoryStream
       1412  57B 00085010 RtlStringFromGUID
       1413  57C 00085020 RtlStringFromGUIDEx
       1414  57D 00103C80 RtlStronglyEnumerateEntryHashTable
       1415  57E 0008E240 RtlSubAuthorityCountSid
       1416  57F 0008BEC0 RtlSubAuthoritySid
       1417  580 00034DC0 RtlSubscribeWnfStateChangeNotification
       1418  581 0007B970 RtlSubtreePredecessor
       1419  582 001058B0 RtlSubtreeSuccessor
       1420  583 00077300 RtlSwitchedVVI
       1421  584 0009B240 RtlSystemTimeToLocalTime
       1422  585 000977F0 RtlTestAndPublishWnfStateData
       1423  586 000F92E0 RtlTestBit
       1424  587 000F9300 RtlTestBitEx
       1425  588 0009C5D0 RtlTestProtectedAccess
       1426  589 00080870 RtlTimeFieldsToTime
       1427  58A 000F1C00 RtlTimeToElapsedTimeFields
       1428  58B 00091B80 RtlTimeToSecondsSince1970
       1429  58C 00091B30 RtlTimeToSecondsSince1980
       1430  58D 00080630 RtlTimeToTimeFields
       1431  58E 0010D960 RtlTraceDatabaseAdd
       1432  58F 0010D9D0 RtlTraceDatabaseCreate
       1433  590 0010DAF0 RtlTraceDatabaseDestroy
       1434  591 0010DB80 RtlTraceDatabaseEnumerate
       1435  592 0010DC80 RtlTraceDatabaseFind
       1436  593 0010DD00 RtlTraceDatabaseLock
       1437  594 0010DD30 RtlTraceDatabaseUnlock
       1438  595 0010DD40 RtlTraceDatabaseValidate
       1439  596 00075B50 RtlTryAcquirePebLock
       1440  597 00034A20 RtlTryAcquireSRWLockExclusive
       1441  598 0008EC00 RtlTryAcquireSRWLockShared
       1442  599 000F4990 RtlTryConvertSRWLockSharedToExclusiveOrRelease
       1443  59A 00075B60 RtlTryEnterCriticalSection
       1444  59B 0007CED0 RtlUTF8ToUnicodeN
       1445  59C 0010E0E0 RtlUlongByteSwap
       1446  59D 0010E0F0 RtlUlonglongByteSwap
       1447  59E 0010C510 RtlUnhandledExceptionFilter
       1448  59F 0010C520 RtlUnhandledExceptionFilter2
       1449  5A0 000F7B20 RtlUnicodeStringToAnsiSize
       1450  5A1 0007C520 RtlUnicodeStringToAnsiString
       1451  5A2 000F7660 RtlUnicodeStringToCountedOemString
       1452  5A3 00084700 RtlUnicodeStringToInteger
       1453  5A4 000F7B20 RtlUnicodeStringToOemSize
       1454  5A5 000932E0 RtlUnicodeStringToOemString
       1455  5A6 000F1820 RtlUnicodeToCustomCPN
       1456  5A7 0007C5F0 RtlUnicodeToMultiByteN
       1457  5A8 0008FB80 RtlUnicodeToMultiByteSize
       1458  5A9 000933A0 RtlUnicodeToOemN
       1459  5AA 0007A840 RtlUnicodeToUTF8N
       1460  5AB 00087F10 RtlUniform
       1461  5AC 000FA110 RtlUnlockBootStatusData
       1462  5AD 00026210 RtlUnlockCurrentThread
       1463  5AE 00056570 RtlUnlockHeap
       1464  5AF 000259C0 RtlUnlockMemoryBlockLookaside
       1465  5B0 000E2230 RtlUnlockMemoryStreamRegion
       1466  5B1 00025A20 RtlUnlockMemoryZone
       1467  5B2 00025B60 RtlUnlockModuleSection
       1468  5B3 000324C0 RtlUnsubscribeWnfNotificationWaitForCompletion
       1469  5B4 000993F0 RtlUnsubscribeWnfNotificationWithCompletionCallback
       1470  5B5 0002E770 RtlUnsubscribeWnfStateChangeNotification
       1471  5B6 00093B40 RtlUnwind
       1472  5B7 00066FF0 RtlUnwindEx
       1473  5B8 00044F50 RtlUpcaseUnicodeChar
       1474  5B9 00044FB0 RtlUpcaseUnicodeString
       1475  5BA 000F77F0 RtlUpcaseUnicodeStringToAnsiString
       1476  5BB 000F7960 RtlUpcaseUnicodeStringToCountedOemString
       1477  5BC 0009AAE0 RtlUpcaseUnicodeStringToOemString
       1478  5BD 000F18D0 RtlUpcaseUnicodeToCustomCPN
       1479  5BE 000923C0 RtlUpcaseUnicodeToMultiByteN
       1480  5BF 00095B00 RtlUpcaseUnicodeToOemN
       1481  5C0 00070C40 RtlUpdateClonedCriticalSection
       1482  5C1 000979C0 RtlUpdateClonedSRWLock
       1483  5C2 0002E900 RtlUpdateTimer
       1484  5C3 00096590 RtlUpperChar
       1485  5C4 000F7C60 RtlUpperString
       1486  5C5 0008CAC0 RtlUserThreadStart
       1487  5C6 0010E100 RtlUshortByteSwap
       1488  5C7 0004B2E0 RtlValidAcl
       1489  5C8 000EFD20 RtlValidProcessProtection
       1490  5C9 0008D860 RtlValidRelativeSecurityDescriptor
       1491  5CA 00087B70 RtlValidSecurityDescriptor
       1492  5CB 0004B890 RtlValidSid
       1493  5CC 001072E0 RtlValidateCorrelationVector
       1494  5CD 0009AC40 RtlValidateHeap
       1495  5CE 000FFEA0 RtlValidateProcessHeaps
       1496  5CF 0009C2E0 RtlValidateUnicodeString
       1497  5D0 000787F0 RtlVerifyVersionInfo
       1498  5D1 00094690 RtlVirtualUnwind
       1499  5D2 00096950 RtlWaitForWnfMetaNotification
       1500  5D3 00099670 RtlWaitOnAddress
       1501  5D4 000361F0 RtlWakeAddressAll
       1502  5D5 0010E110 RtlWakeAddressAllNoFence
       1503  5D6 0010E120 RtlWakeAddressSingle
       1504  5D7 0010E130 RtlWakeAddressSingleNoFence
       1505  5D8 0008CEF0 RtlWakeAllConditionVariable
       1506  5D9 00092BA0 RtlWakeConditionVariable
       1507  5DA 0006B620 RtlWalkFrameChain
       1508  5DB 000FFFA0 RtlWalkHeap
       1509  5DC 00103D10 RtlWeaklyEnumerateEntryHashTable
       1510  5DD 000E8D40 RtlWerpReportException
       1511  5DE 000E9E50 RtlWnfCompareChangeStamp
       1512  5DF 0002DF90 RtlWnfDllUnloadCallback
       1513  5E0 00099660 RtlWow64CallFunction64
       1514  5E1 00099660 RtlWow64EnableFsRedirection
       1515  5E2 00099660 RtlWow64EnableFsRedirectionEx
       1516  5E3 0007EC60 RtlWow64GetCpuAreaInfo
       1517  5E4 0007A2D0 RtlWow64GetCurrentCpuArea
       1518  5E5 0007EC10 RtlWow64GetCurrentMachine
       1519  5E6 00090FD0 RtlWow64GetEquivalentMachineCHPE
       1520  5E7 0007C960 RtlWow64GetProcessMachines
       1521  5E8 000385C0 RtlWow64GetSharedInfoProcess
       1522  5E9 000E83F0 RtlWow64GetThreadContext
       1523  5EA 000E8410 RtlWow64GetThreadSelectorEntry
       1524  5EB 000942E0 RtlWow64IsWowGuestMachineSupported
       1525  5EC 000E3270 RtlWow64LogMessageInEventLogger
       1526  5ED 0007CE00 RtlWow64PopAllCrossProcessWork
       1527  5EE 000E8590 RtlWow64PopCrossProcessWork
       1528  5EF 0008AD20 RtlWow64PushCrossProcessWork
       1529  5F0 000E8610 RtlWow64SetThreadContext
       1530  5F1 000383F0 RtlWow64SuspendThread
       1531  5F2 000E2230 RtlWriteMemoryStream
       1532  5F3 0009CBB0 RtlWriteRegistryValue
       1533  5F4 00104AC0 RtlZeroHeap
       1534  5F5 00103990 RtlZeroMemory
       1535  5F6 000EB0E0 RtlZombifyActivationContext
       1536  5F7 0007AC70 RtlpApplyLengthFunction
       1537  5F8 0003BDB0 RtlpCheckDynamicTimeZoneInformation
       1538  5F9 000FBA40 RtlpCleanupRegistryKeys
       1539  5FA 000F5B30 RtlpConvertAbsoluteToRelativeSecurityAttribute
       1540  5FB 000FBF80 RtlpConvertCultureNamesToLCIDs
       1541  5FC 000FC1A0 RtlpConvertLCIDsToCultureNames
       1542  5FD 000F5FA0 RtlpConvertRelativeToAbsoluteSecurityAttribute
       1543  5FE 000625B0 RtlpCreateProcessRegistryInfo
       1544  5FF 0008A4D0 RtlpEnsureBufferSize
       1545  600 001557D0 RtlpFreezeTimeBias
       1546  601 000447F0 RtlpGetDeviceFamilyInfoEnum
       1547  602 00098110 RtlpGetLCIDFromLangInfoNode
       1548  603 00097580 RtlpGetNameFromLangInfoNode
       1549  604 0008C390 RtlpGetSystemDefaultUILanguage
       1550  605 0010E140 RtlpGetUserOrMachineUILanguage4NLS
       1551  606 000FC990 RtlpInitializeLangRegistryInfo
       1552  607 00092FB0 RtlpIsQualifiedLanguage
       1553  608 0003C780 RtlpLoadMachineUIByPolicy
       1554  609 0003C850 RtlpLoadUserUIByPolicy
       1555  60A 00027250 RtlpMergeSecurityAttributeInformation
       1556  60B 0009CAA0 RtlpMuiFreeLangRegistryInfo
       1557  60C 0010EE10 RtlpMuiRegCreateRegistryInfo
       1558  60D 0003DCB0 RtlpMuiRegFreeRegistryInfo
       1559  60E 0003DBF0 RtlpMuiRegLoadRegistryInfo
       1560  60F 000F4C70 RtlpNotOwnerCriticalSection
       1561  610 00112860 RtlpNtCreateKey
       1562  611 00094F80 RtlpNtEnumerateSubKey
       1563  612 00112890 RtlpNtMakeTemporaryKey
       1564  613 00093B20 RtlpNtOpenKey
       1565  614 00092960 RtlpNtQueryValueKey
       1566  615 001128A0 RtlpNtSetValueKey
       1567  616 0008C1F0 RtlpQueryDefaultUILanguage
       1568  617 000E4930 RtlpQueryProcessDebugInformationFromWow64
       1569  618 000E49D0 RtlpQueryProcessDebugInformationRemote
       1570  619 00110B90 RtlpRefreshCachedUILanguage
       1571  61A 000FCEE0 RtlpSetInstallLanguage
       1572  61B 000FDA60 RtlpSetPreferredUILanguages
       1573  61C 000FDA60 RtlpSetUserPreferredUILanguages
       1574  61D 000361A0 RtlpUnWaitCriticalSection
       1575  61E 0009B3F0 RtlpVerifyAndCommitUILanguageSettings
       1576  61F 00027FE0 RtlpWaitForCriticalSection
       1577  620 000F7AF0 RtlxAnsiStringToUnicodeSize
       1578  621 000F7AF0 RtlxOemStringToUnicodeSize
       1579  622 000F7B20 RtlxUnicodeStringToAnsiSize
       1580  623 000F7B20 RtlxUnicodeStringToOemSize
       1581  624 00124AD0 SbExecuteProcedure
       1582  625 00060220 SbSelectProcedure
       1583  626 000E92C0 ShipAssert
       1584  627 000E93E0 ShipAssertGetBufferInfo
       1585  628 000E9410 ShipAssertMsgA
       1586  629 000E9410 ShipAssertMsgW
       1587  62A 00037A00 TpAllocAlpcCompletion
       1588  62B 00036970 TpAllocAlpcCompletionEx
       1589  62C 000907B0 TpAllocCleanupGroup
       1590  62D 000377C0 TpAllocIoCompletion
