Microsoft (R) COFF/PE Dumper Version 14.33.31630.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file D:\Projects\MouriNaruto\ntdll-crt-analysis\ntdll.dll\10.0.16299.15\arm64\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FCCC3633 time date stamp
        0.00 version
           8 ordinal base
        2317 number of functions
        2316 number of names

    ordinal hint RVA      name

        200   BF 00022740 NtAccessCheckAndAuditAlarm
        201   C0 00022AE0 NtAccessCheckByType
        202   C1 00022A40 NtAccessCheckByTypeAndAuditAlarm
        203   C2 00022AF0 NtAccessCheckByTypeResultList
        204   C3 00022B00 NtAccessCheckByTypeResultListAndAuditAlarm
        205   C4 00022B10 NtAccessCheckByTypeResultListAndAuditAlarmByHandle
        206   C5 00022B20 NtAcquireProcessActivityReference
        207   C6 00022920 NtAddAtom
        208   C7 00022B30 NtAddAtomEx
        209   C8 00022B40 NtAddBootEntry
        210   C9 00022B50 NtAddDriverEntry
        211   CA 00022B60 NtAdjustGroupsToken
        212   CB 000228C0 NtAdjustPrivilegesToken
        213   CC 00022B70 NtAdjustTokenClaimsAndDeviceGroups
        214   CD 00022B80 NtAlertResumeThread
        215   CE 00022B90 NtAlertThread
        216   CF 00022BA0 NtAlertThreadByThreadId
        217   D0 00022BB0 NtAllocateLocallyUniqueId
        218   D1 00022BC0 NtAllocateReserveObject
        219   D2 00022BD0 NtAllocateUserPhysicalPages
        220   D3 00022BE0 NtAllocateUuids
        221   D4 00022630 NtAllocateVirtualMemory
        222   D5 00022BF0 NtAlpcAcceptConnectPort
        223   D6 00022C00 NtAlpcCancelMessage
        224   D7 00022C10 NtAlpcConnectPort
        225   D8 00022C20 NtAlpcConnectPortEx
        226   D9 00022C30 NtAlpcCreatePort
        227   DA 00022C40 NtAlpcCreatePortSection
        228   DB 00022C50 NtAlpcCreateResourceReserve
        229   DC 00022C60 NtAlpcCreateSectionView
        230   DD 00022C70 NtAlpcCreateSecurityContext
        231   DE 00022C80 NtAlpcDeletePortSection
        232   DF 00022C90 NtAlpcDeleteResourceReserve
        233   E0 00022CA0 NtAlpcDeleteSectionView
        234   E1 00022CB0 NtAlpcDeleteSecurityContext
        235   E2 00022CC0 NtAlpcDisconnectPort
        236   E3 00022CD0 NtAlpcImpersonateClientContainerOfPort
        237   E4 00022CE0 NtAlpcImpersonateClientOfPort
        238   E5 00022CF0 NtAlpcOpenSenderProcess
        239   E6 00022D00 NtAlpcOpenSenderThread
        240   E7 00022D10 NtAlpcQueryInformation
        241   E8 00022D20 NtAlpcQueryInformationMessage
        242   E9 00022D30 NtAlpcRevokeSecurityContext
        243   EA 00022D40 NtAlpcSendWaitReceivePort
        244   EB 00022D50 NtAlpcSetInformation
        245   EC 00022970 NtApphelpCacheControl
        246   ED 00022D60 NtAreMappedFilesTheSame
        247   EE 00022D70 NtAssignProcessToJobObject
        248   EF 00022D80 NtAssociateWaitCompletionPacket
        249   F0 00022D90 NtCallEnclave
        250   F1 00022500 NtCallbackReturn
        251   F2 00022A80 NtCancelIoFile
        252   F3 00022DA0 NtCancelIoFileEx
        253   F4 00022DB0 NtCancelSynchronousIoFile
        254   F5 00022AC0 NtCancelTimer
        255   F6 00022DC0 NtCancelTimer2
        256   F7 00022DD0 NtCancelWaitCompletionPacket
        257   F8 00022890 NtClearEvent
        258   F9 000225A0 NtClose
        259   FA 00022860 NtCloseObjectAuditAlarm
        260   FB 00022DE0 NtCommitComplete
        261   FC 00022DF0 NtCommitEnlistment
